Date,Open,High,Low,Close,Adj Close,Volume
3/24/1999,22.5625,23.375,22.53125,22.96875,12.783532,2822400
3/25/1999,23.5,23.90625,23.5,23.71875,13.200951,3109200
3/26/1999,23.71875,23.71875,23.25,23.40625,13.027023,1706000
3/29/1999,23.59375,24.03125,23.59375,23.625,13.148772,2390400
3/30/1999,23.625,23.6875,23.09375,23.46875,13.061816,1858600
3/31/1999,23.46875,23.71875,22.90625,22.96875,12.783532,2312600
4/1/1999,23.15625,23.6875,23.15625,23.46875,13.061816,2597000
4/5/1999,23.71875,24.6875,23.71875,24.53125,13.653161,2814600
4/6/1999,24.53125,24.8125,24.15625,24.1875,13.46184,1858600
4/7/1999,24.1875,24.46875,23.90625,24.25,13.496627,2352800
4/8/1999,24.25,24.5,24.03125,24.3125,13.53141,1529800
4/9/1999,24.3125,24.78125,24.15625,24.375,13.566195,1776600
4/12/1999,24.65625,25.875,24.65625,25.6875,14.296682,4569400
4/13/1999,25.6875,27.5,25.625,27.375,15.235889,7425600
4/14/1999,27.375,30.40625,27.15625,30.34375,16.888184,12250600
4/15/1999,30.34375,32.21875,30,30.90625,17.201241,14420600
4/16/1999,30.90625,32,29.96875,31.90625,17.757803,11939200
4/19/1999,31.90625,32.78125,30.875,30.875,17.183853,10268400
4/20/1999,30.875,31.09375,30.125,30.34375,16.888184,6813200
4/21/1999,30.34375,30.9375,29.84375,30.84375,17.166466,3861600
4/22/1999,30.71875,30.71875,29.65625,29.90625,16.726021,3053800
4/23/1999,29.90625,30.46875,28.96875,30.28125,16.935755,3108200
4/26/1999,30.28125,31.40625,30.25,31,17.337734,2673800
4/27/1999,31.5625,32.40625,31.5625,31.78125,17.774677,4822200
4/28/1999,31.78125,33.125,31.65625,32.28125,18.054317,4397600
4/29/1999,32.3125,33.1875,32.3125,32.75,18.316486,3582000
4/30/1999,32.71875,32.71875,31.125,32.1875,18.001884,8051200
5/3/1999,32.1875,32.71875,31.71875,32.59375,18.229092,3631000
5/4/1999,32.59375,33.21875,32.5625,32.71875,18.299006,3782600
5/5/1999,32.625,32.625,32.0625,32.5625,18.211609,2484200
5/6/1999,32.5625,33.0625,32.34375,32.6875,18.281527,2507800
5/7/1999,32.6875,32.8125,31.21875,31.59375,17.669807,3418800
5/10/1999,31.25,31.25,30.625,30.875,17.267828,2857200
5/11/1999,30.875,31.875,30.1875,31.59375,17.669807,2898400
5/12/1999,31.59375,31.625,30.34375,30.375,16.988188,1903200
5/13/1999,30.375,30.46875,29.59375,30.3125,16.95323,3266200
5/14/1999,30.3125,31.25,29.8125,30.5,17.058094,2568600
5/17/1999,30.5,31.125,30.40625,30.5625,17.093054,2233600
5/18/1999,30.5625,30.59375,28.75,29.34375,16.411425,2767800
5/19/1999,29.34375,30.09375,28.875,29,16.219168,2335000
5/20/1999,29,29.6875,29,29.46875,16.481335,1571600
5/21/1999,29.46875,30,29.40625,29.8125,16.673597,1991800
5/24/1999,29.8125,30.34375,29.40625,29.59375,16.551241,1917800
5/25/1999,29.59375,30.125,29.25,29.34375,16.411425,1661800
5/26/1999,29.34375,29.46875,28.625,28.90625,16.166739,2123200
5/27/1999,28.75,28.75,27.25,27.6875,15.485111,4050000
5/28/1999,27.6875,27.84375,27.25,27.4375,15.345291,2749600
6/1/1999,27.4375,29.75,27.28125,29.375,16.428902,3903400
6/2/1999,29.375,29.875,28.8125,29.1875,16.324045,2314200
6/3/1999,29.1875,30.53125,29.1875,30.21875,16.900801,3796800
6/4/1999,30.6875,31.4375,30.6875,31.40625,17.564949,2871200
6/7/1999,31.40625,31.90625,31.03125,31.625,17.687294,3347400
6/8/1999,31.625,31.75,30.59375,31.0625,17.372696,2491000
6/9/1999,31.0625,31.46875,30.5,30.75,17.19792,1721800
6/10/1999,30.75,31,30.25,30.9375,17.302786,2574800
6/11/1999,30.9375,30.96875,29.53125,29.71875,16.621159,3054600
6/14/1999,29.71875,30.3125,29.6875,29.96875,16.760975,2182600
6/15/1999,29.96875,30,29.21875,29.21875,16.341513,2495800
6/16/1999,29.21875,29.9375,29.0625,29.46875,16.481335,2279200
6/17/1999,29.46875,29.59375,29.34375,29.4375,16.463854,1829400
6/18/1999,29.96875,30.875,29.96875,30.75,17.19792,3309000
6/21/1999,30.75,31.03125,30.0625,30.4375,17.023138,1846800
6/22/1999,30.34375,30.34375,29.84375,30.09375,16.830894,1582600
6/23/1999,30.09375,30.09375,29.5,29.8125,16.673597,1250000
6/24/1999,29.8125,30.375,29.0625,29.5,16.498817,1775600
6/25/1999,29.5,29.90625,29.25,29.3125,16.393951,1706200
6/28/1999,29.5,30.53125,29.5,30.375,16.988188,2424200
6/29/1999,30.375,30.71875,30.25,30.5625,17.093054,2104800
6/30/1999,30.5625,31.125,30,30,16.778458,3948400
7/1/1999,30.3125,30.84375,30.3125,30.59375,17.110523,2433600
7/2/1999,30.71875,31.4375,30.71875,30.96875,17.320265,2364400
7/6/1999,30.71875,30.71875,29.65625,29.65625,16.586206,1982800
7/7/1999,30.09375,31.15625,30.09375,31.0625,17.372696,4011200
7/8/1999,30.875,30.875,30.28125,30.59375,17.110523,2047800
7/9/1999,30.59375,30.78125,30.0625,30.59375,17.110523,2040200
7/12/1999,30.59375,30.84375,30.3125,30.5,17.058094,2204000
7/13/1999,30.25,30.25,29.90625,29.9375,16.7435,2526600
7/14/1999,29.9375,30.125,29.75,29.90625,16.726021,2648400
7/15/1999,29.90625,30.0625,29.25,29.75,16.638634,3807200
7/16/1999,29.75,29.84375,28.75,29.46875,16.571856,6479400
7/19/1999,29.625,30.15625,29.625,30.125,16.940903,3005800
7/20/1999,30.125,30.4375,29.96875,30.09375,16.923328,3843400
7/21/1999,30.09375,30.40625,29.96875,30.3125,17.046341,1976200
7/22/1999,30.3125,30.40625,30.0625,30.25,17.0112,2642600
7/23/1999,30.25,30.625,30.1875,30.5,17.151775,1325600
7/26/1999,30.5,31.28125,29.875,30,16.870602,2418600
7/27/1999,30,30.375,29.96875,30.0625,16.905752,1699800
7/28/1999,30.0625,31,29.84375,30.625,17.222076,2041800
7/29/1999,30.53125,30.53125,29.4375,29.4375,16.554277,2136000
7/30/1999,29.4375,30,29.3125,29.3125,16.48399,3094200
8/2/1999,29.3125,29.46875,29.1875,29.28125,16.466415,2118000
8/3/1999,29.28125,29.46875,28.71875,28.9375,16.2731,2275600
8/4/1999,28.9375,29.25,28.53125,28.59375,16.079796,2170800
8/5/1999,28.59375,28.59375,27.90625,28.0625,15.781054,3563600
8/6/1999,28.0625,28.96875,27.90625,28.875,16.237955,4272600
8/9/1999,28.875,29.21875,28.4375,28.875,16.237955,1613000
8/10/1999,28.875,29.65625,28.625,29.4375,16.554277,3199600
8/11/1999,29.4375,29.75,29.0625,29.625,16.659723,1709000
8/12/1999,30.5,31.40625,30.5,30.5,17.151775,4357000
8/13/1999,30.9375,31.21875,30.9375,31.125,17.503252,3754600
8/16/1999,31.125,31.3125,30.65625,31.15625,17.520828,3565000
8/17/1999,31.15625,31.5,30.84375,31,17.432962,2361600
8/18/1999,30.9375,30.9375,30.40625,30.5,17.151775,1475800
8/19/1999,30.5,30.6875,29.96875,30.15625,16.958466,1784000
8/20/1999,30.15625,30.34375,29.9375,30.15625,16.958466,1833600
8/23/1999,30.4375,31.53125,30.4375,31.46875,17.696564,2567200
8/24/1999,31.46875,31.9375,31.25,31.5,17.714142,2166800
8/25/1999,31.5,31.96875,31.3125,31.375,17.643837,2439400
8/26/1999,31.40625,31.84375,31.40625,31.5625,17.749283,2032200
8/27/1999,31.5625,31.625,30.59375,30.8125,17.327524,1280400
8/30/1999,30.78125,30.78125,29.625,29.75,16.730022,1512800
8/31/1999,29.75,29.75,28.3125,28.3125,15.921638,4402600
9/1/1999,28.59375,29.34375,28.59375,29,16.308243,2989200
9/2/1999,29,29.59375,28.6875,29.4375,16.554277,2183000
9/3/1999,29.4375,29.96875,29.375,29.59375,16.642143,2794400
9/7/1999,29.5,29.5,28.90625,29.1875,16.4137,2475800
9/8/1999,29.1875,29.46875,28.84375,29.3125,16.48399,1204400
9/9/1999,29.3125,29.5625,28.875,29.375,16.519136,1693000
9/10/1999,29.375,29.5625,28.25,28.375,15.956786,2812200
9/13/1999,28.375,29.8125,28.375,29.71875,16.71244,3463000
9/14/1999,29.71875,30.34375,29.09375,29.21875,16.431274,3178000
